competition,role,judge,country
ec2024SEG001OF,Judge No.5,Anu NIINIRANTA,Finland
ec2024SEG001OF,Judge No.6,Agita ABELE,Latvia
ec2024SEG001OF,Judge No.7,Zanna KULIK,Estonia
ec2024SEG001OF,Judge No.8,Margery HILKO,Ireland
ec2024SEG001OF,Judge No.9,Natalia KRUGLOVA,Ukraine
ec2024SEG002OF,Judge No.1,Helene CUCUPHAT,France
ec2024SEG002OF,Judge No.2,Andrea SIMANCIKOVA,Slovakia
ec2024SEG002OF,Judge No.3,Agita ABELE,Latvia
ec2024SEG002OF,Judge No.4,Anna KANTOR,Israel
ec2024SEG002OF,Judge No.5,Katarina HENRIKSSON,Sweden
ec2024SEG002OF,Judge No.6,Zanna KULIK,Estonia
ec2024SEG002OF,Judge No.7,Margery HILKO,Ireland
ec2024SEG002OF,Judge No.8,Alice WALDER,Switzerland
ec2024SEG002OF,Judge No.9,Senem AHISKAL,Turkey
ec2024SEG003OF,Judge No.1,Anastasia PAPAGIANNOPOULOU,Greece
ec2024SEG003OF,Judge No.2,Hedviga FIALKOVA,Slovakia
ec2024SEG003OF,Judge No.3,Mary CHAPMAN,Great Britain
ec2024SEG003OF,Judge No.4,Aniela HEBEL-SZMAK,Poland
ec2024SEG003OF,Judge No.5,Salome CHIGOGIDZE,Georgia
ec2024SEG003OF,Judge No.6,Edith SCHILLER,Austria
ec2024SEG003OF,Judge No.7,Slobodan DELIC,Serbia
ec2024SEG003OF,Judge No.8,Francoise de RAPPARD,Belgium
ec2024SEG003OF,Judge No.9,Pernilla BOHLING,Finland
ec2024SEG004OF,Judge No.1,Aniela HEBEL-SZMAK,Poland
ec2024SEG004OF,Judge No.2,Salome CHIGOGIDZE,Georgia
ec2024SEG004OF,Judge No.3,Slobodan DELIC,Serbia
ec2024SEG004OF,Judge No.4,Edith SCHILLER,Austria
ec2024SEG004OF,Judge No.5,Francoise de RAPPARD,Belgium
ec2024SEG004OF,Judge No.6,Mary CHAPMAN,Great Britain
ec2024SEG004OF,Judge No.7,Anastasia PAPAGIANNOPOULOU,Greece
ec2024SEG004OF,Judge No.8,Hedviga FIALKOVA,Slovakia
ec2024SEG004OF,Judge No.9,Pernilla BOHLING,Finland
wc2024SEG001OF,Judge No.1,Helene CUCUPHAT,France
wc2024SEG001OF,Judge No.2,Bernhard JUST,Austria
wc2024SEG001OF,Judge No.3,Anna KANTOR,Israel
wc2024SEG001OF,Judge No.4,Christine BLANC,Switzerland
wc2024SEG001OF,Judge No.5,Ebru ANILDI,Turkey
wc2024SEG001OF,Judge No.6,Natalia KRUGLOVA,Ukraine
wc2024SEG001OF,Judge No.7,Daniel DELFA,Spain
wc2024SEG001OF,Judge No.8,Tatiana YORDANOVA,Bulgaria
wc2024SEG001OF,Judge No.9,Asa NORDBACK,Sweden
wc2024SEG002OF,Judge No.1,Helene CUCUPHAT,France
wc2024SEG002OF,Judge No.2,Lovorka KODRIN,Croatia
wc2024SEG002OF,Judge No.3,Yury KLIUSHNIKOV,Azerbaijan
wc2024SEG002OF,Judge No.4,Leslie KEEN,Canada
wc2024SEG002OF,Judge No.5,Asa NORDBACK,Sweden
wc2024SEG002OF,Judge No.6,Bernhard JUST,Austria
wc2024SEG002OF,Judge No.7,Anna KANTOR,Israel
wc2024SEG002OF,Judge No.8,So Young AN,South Korea
wc2024SEG002OF,Judge No.9,Daniel DELFA,Spain
wc2024SEG003OF,Judge No.1,Andrea SIMANCIKOVA,Slovakia
wc2024SEG003OF,Judge No.2,Vessela POPOVA,Bulgaria
wc2024SEG003OF,Judge No.3,Tiziana MORANDI,Italy
wc2024SEG003OF,Judge No.4,Zsuzsanna VIKARNE-HOMOLYA,Hungary
wc2024SEG003OF,Judge No.5,Anna SIEROCKA,Poland
wc2024SEG003OF,Judge No.6,Lise Rosto JENSEN,Norway
wc2024SEG003OF,Judge No.7,Agita ABELE,Latvia
wc2024SEG003OF,Judge No.8,Ayumi ONO,Japan
wc2024SEG003OF,Judge No.9,Beth CRANE,Canada
wc2024SEG004OF,Judge No.1,Marina BESCHEA,Romania
wc2024SEG004OF,Judge No.2,Tiziana MORANDI,Italy
wc2024SEG004OF,Judge No.3,Pekka LESKINEN,Finland
wc2024SEG004OF,Judge No.4,Anna SIEROCKA,Poland
wc2024SEG004OF,Judge No.5,Deborah CURRIE,USA
wc2024SEG004OF,Judge No.6,Jung Sue LEE,South Korea
wc2024SEG004OF,Judge No.7,Beth CRANE,Canada
wc2024SEG004OF,Judge No.8,Agita ABELE,Latvia
wc2024SEG004OF,Judge No.9,Zsuzsanna VIKARNE-HOMOLYA,Hungary
gpusa2023SEG001OF,Judge No.1,Deveny DECK,USA
gpusa2023SEG001OF,Judge No.2,Yulia LEVSHUNOVA,Georgia
gpusa2023SEG001OF,Judge No.3,Nicole LEBLANC-RICHARD,Canada
gpusa2023SEG001OF,Judge No.4,Yuko OGAWA,Japan
gpusa2023SEG001OF,Judge No.5,Agita ABELE,Latvia
gpusa2023SEG001OF,Judge No.6,Yury KLIUSHNIKOV,Azerbaijan
gpusa2023SEG001OF,Judge No.7,Antony GREVISSE,Belgium
gpusa2023SEG001OF,Judge No.8,Laila DAVIDSSON,Sweden
gpusa2023SEG001OF,Judge No.9,Florence VUYLSTEKER,France
gpusa2023SEG002OF,Judge No.1,Deveny DECK,USA
gpusa2023SEG002OF,Judge No.2,Yulia LEVSHUNOVA,Georgia
gpusa2023SEG002OF,Judge No.3,Nicole LEBLANC-RICHARD,Canada
gpusa2023SEG002OF,Judge No.4,Yuko OGAWA,Japan
gpusa2023SEG002OF,Judge No.5,Agita ABELE,Latvia
gpusa2023SEG002OF,Judge No.6,Yury KLIUSHNIKOV,Azerbaijan
gpusa2023SEG002OF,Judge No.7,Antony GREVISSE,Belgium
gpusa2023SEG002OF,Judge No.8,Laila DAVIDSSON,Sweden
gpusa2023SEG002OF,Judge No.9,Florence VUYLSTEKER,France
gpusa2023SEG003OF,Judge No.1,Wendy ENZMANN,USA
gpusa2023SEG003OF,Judge No.2,Yuko OGAWA,Japan
gpusa2023SEG003OF,Judge No.3,Nicole van GERWEN-MAAS,Netherlands
gpusa2023SEG003OF,Judge No.4,Agnieszka SWIDERSKA,Poland
gpusa2023SEG003OF,Judge No.5,So Young AN,South Korea
gpusa2023SEG003OF,Judge No.6,Antony GREVISSE,Belgium
gpusa2023SEG003OF,Judge No.7,Kadi ZVIRIK,Estonia
gpusa2023SEG003OF,Judge No.8,Hui LIU,China
gpusa2023SEG003OF,Judge No.9,Virginia de AGOSTINI,Italy
gpusa2023SEG004OF,Judge No.1,Wendy ENZMANN,USA
gpusa2023SEG004OF,Judge No.2,Yuko OGAWA,Japan
gpusa2023SEG004OF,Judge No.3,Nicole van GERWEN-MAAS,Netherlands
gpusa2023SEG004OF,Judge No.4,Agnieszka SWIDERSKA,Poland
gpusa2023SEG004OF,Judge No.5,So Young AN,South Korea
gpusa2023SEG004OF,Judge No.6,Antony GREVISSE,Belgium
gpusa2023SEG004OF,Judge No.7,Kadi ZVIRIK,Estonia
gpusa2023SEG004OF,Judge No.8,Hui LIU,China
gpusa2023SEG004OF,Judge No.9,Virginia de AGOSTINI,Italy
gpcan2023SEG001OF,Judge No.1,Yoko KUNO,Japan
gpcan2023SEG001OF,Judge No.2,Zanna KULIK,Estonia
gpcan2023SEG001OF,Judge No.3,Anna KANTOR,Israel
gpcan2023SEG001OF,Judge No.4,Kerstin KIMMINUS,Germany
gpcan2023SEG001OF,Judge No.5,Deborah CURRIE,USA
gpcan2023SEG001OF,Judge No.6,Nadezhda PARETSKAIA,Kazakhstan
gpcan2023SEG001OF,Judge No.7,Pinuccia FERRARIO,Italy
gpcan2023SEG001OF,Judge No.8,Reaghan FORTIN,Canada
gpcan2023SEG001OF,Judge No.9,Jung Sue LEE,South Korea
gpcan2023SEG002OF,Judge No.1,Yoko KUNO,Japan
gpcan2023SEG002OF,Judge No.2,Zanna KULIK,Estonia
gpcan2023SEG002OF,Judge No.3,Anna KANTOR,Israel
gpcan2023SEG002OF,Judge No.4,Kerstin KIMMINUS,Germany
gpcan2023SEG002OF,Judge No.5,Deborah CURRIE,USA
gpcan2023SEG002OF,Judge No.6,Nadezhda PARETSKAIA,Kazakhstan
gpcan2023SEG002OF,Judge No.7,Pinuccia FERRARIO,Italy
gpcan2023SEG002OF,Judge No.8,Reaghan FORTIN,Canada
gpcan2023SEG002OF,Judge No.9,Jung Sue LEE,South Korea
gpcan2023SEG003OF,Judge No.1,Eva SZILAGYI,Hungary
gpcan2023SEG003OF,Judge No.2,Jung Sue LEE,South Korea
gpcan2023SEG003OF,Judge No.3,Ernestien BAKKER,Netherlands
gpcan2023SEG003OF,Judge No.4,Deborah CURRIE,USA
gpcan2023SEG003OF,Judge No.5,Pinuccia FERRARIO,Italy
gpcan2023SEG003OF,Judge No.6,Karen Anne HARRIS,Australia
gpcan2023SEG003OF,Judge No.7,Yoko KUNO,Japan
gpcan2023SEG003OF,Judge No.8,Andreas WALDECK,Germany
gpcan2023SEG003OF,Judge No.9,Beth CRANE,Canada
gpcan2023SEG004OF,Judge No.1,Eva SZILAGYI,Hungary
gpcan2023SEG004OF,Judge No.2,Jung Sue LEE,South Korea
gpcan2023SEG004OF,Judge No.3,Ernestien BAKKER,Netherlands
gpcan2023SEG004OF,Judge No.4,Deborah CURRIE,USA
gpcan2023SEG004OF,Judge No.5,Pinuccia FERRARIO,Italy
gpcan2023SEG004OF,Judge No.6,Karen Anne HARRIS,Australia
gpcan2023SEG004OF,Judge No.7,Yoko KUNO,Japan
gpcan2023SEG004OF,Judge No.8,Andreas WALDECK,Germany
gpcan2023SEG004OF,Judge No.9,Beth CRANE,Canada
gpfra2023SEG001OF,Judge No.1,Helene CUCUPHAT,France
gpfra2023SEG001OF,Judge No.2,Rolf PIPOH,Germany
gpfra2023SEG001OF,Judge No.3,Robert ROSENBLUTH,USA
gpfra2023SEG001OF,Judge No.4,Pekka LESKINEN,Finland
gpfra2023SEG001OF,Judge No.5,Nobuhiko YOSHIOKA,Japan
gpfra2023SEG001OF,Judge No.6,Yumin WANG,China
gpfra2023SEG001OF,Judge No.7,Claudia BRAMBATI,Italy
gpfra2023SEG001OF,Judge No.8,Hans-Ulrich LUETHI,Switzerland
gpfra2023SEG001OF,Judge No.9,Marta OLOZAGARRE,Spain
gpfra2023SEG002OF,Judge No.1,Helene CUCUPHAT,France
gpfra2023SEG002OF,Judge No.2,Rolf PIPOH,Germany
gpfra2023SEG002OF,Judge No.3,Robert ROSENBLUTH,USA
gpfra2023SEG002OF,Judge No.4,Pekka LESKINEN,Finland
gpfra2023SEG002OF,Judge No.5,Nobuhiko YOSHIOKA,Japan
gpfra2023SEG002OF,Judge No.6,Yumin WANG,China
gpfra2023SEG002OF,Judge No.7,Claudia BRAMBATI,Italy
gpfra2023SEG002OF,Judge No.8,Hans-Ulrich LUETHI,Switzerland
gpfra2023SEG002OF,Judge No.9,Marta OLOZAGARRE,Spain
gpfra2023SEG003OF,Judge No.1,Albert SAADI,Monaco
gpfra2023SEG003OF,Judge No.2,Robert ROSENBLUTH,USA
gpfra2023SEG003OF,Judge No.3,Melanie PRAGUE,France
gpfra2023SEG003OF,Judge No.4,Francoise de RAPPARD,Belgium
gpfra2023SEG003OF,Judge No.5,Chihee RHEE,South Korea
gpfra2023SEG003OF,Judge No.6,Nobuhiko YOSHIOKA,Japan
gpfra2023SEG003OF,Judge No.7,Pekka LESKINEN,Finland
gpfra2023SEG003OF,Judge No.8,Hans-Ulrich LUETHI,Switzerland
gpfra2023SEG003OF,Judge No.9,Rolf PIPOH,Germany
gpfra2023SEG004OF,Judge No.1,Albert SAADI,Monaco
gpfra2023SEG004OF,Judge No.2,Robert ROSENBLUTH,USA
gpfra2023SEG004OF,Judge No.3,Melanie PRAGUE,France
gpfra2023SEG004OF,Judge No.4,Francoise de RAPPARD,Belgium
gpfra2023SEG004OF,Judge No.5,Chihee RHEE,South Korea
gpfra2023SEG004OF,Judge No.6,Nobuhiko YOSHIOKA,Japan
gpfra2023SEG004OF,Judge No.7,Pekka LESKINEN,Finland
gpfra2023SEG004OF,Judge No.8,Hans-Ulrich LUETHI,Switzerland
gpfra2023SEG004OF,Judge No.9,Rolf PIPOH,Germany
gpjpn2023data0130,Judge No.1,Anita BERNASCONI,Switzerland
gpjpn2023data0130,Judge No.2,Limin JAO,Canada
gpjpn2023data0130,Judge No.3,Eric HAMPTON,USA
gpjpn2023data0130,Judge No.4,Mami MAEDA,Japan
gpjpn2023data0130,Judge No.5,Zanna KULIK,Estonia
gpjpn2023data0130,Judge No.6,Anthony LEROY,France
gpjpn2023data0130,Judge No.7,Walter TOIGO,Italy
gpjpn2023data0130,Judge No.8,Salome CHIGOGIDZE,Georgia
gpjpn2023data0130,Judge No.9,Irina KOMARNICKA,Latvia
gpjpn2023data0150,Judge No.1,Anita BERNASCONI,Switzerland
gpjpn2023data0150,Judge No.2,Limin JAO,Canada
gpjpn2023data0150,Judge No.3,Eric HAMPTON,USA
gpjpn2023data0150,Judge No.4,Mami MAEDA,Japan
gpjpn2023data0150,Judge No.5,Zanna KULIK,Estonia
gpjpn2023data0150,Judge No.6,Anthony LEROY,France
gpjpn2023data0150,Judge No.7,Walter TOIGO,Italy
gpjpn2023data0150,Judge No.8,Salome CHIGOGIDZE,Georgia
gpjpn2023data0150,Judge No.9,Irina KOMARNICKA,Latvia
gpjpn2023data0230,Judge No.1,Salome CHIGOGIDZE,Georgia
gpjpn2023data0230,Judge No.2,Merilyn VEKEMANS-van DUPPEN,Netherlands
gpjpn2023data0230,Judge No.3,Anthony LEROY,France
gpjpn2023data0230,Judge No.4,Angelika ULLM,Germany
gpjpn2023data0230,Judge No.5,Ann MUESING,Belgium
gpjpn2023data0230,Judge No.6,Anita BERNASCONI,Switzerland
gpjpn2023data0230,Judge No.7,Lorrie PARKER,USA
gpjpn2023data0230,Judge No.8,Yoon Kyung LEE,South Korea
gpjpn2023data0230,Judge No.9,Nobuhiko YOSHIOKA,Japan
gpjpn2023data0250,Judge No.1,Salome CHIGOGIDZE,Georgia
gpjpn2023data0250,Judge No.2,Merilyn VEKEMANS-van DUPPEN,Netherlands
gpjpn2023data0250,Judge No.3,Anthony LEROY,France
gpjpn2023data0250,Judge No.4,Angelika ULLM,Germany
gpjpn2023data0250,Judge No.5,Ann MUESING,Belgium
gpjpn2023data0250,Judge No.6,Anita BERNASCONI,Switzerland
gpjpn2023data0250,Judge No.7,Lorrie PARKER,USA
gpjpn2023data0250,Judge No.8,Yoon Kyung LEE,South Korea
gpjpn2023data0250,Judge No.9,Nobuhiko YOSHIOKA,Japan
gpfin2023SEG001OF,Judge No.1,Jelena GALIMOVA,Estonia
gpfin2023SEG001OF,Judge No.2,Yury KLIUSHNIKOV,Azerbaijan
gpfin2023SEG001OF,Judge No.3,Florence VUYLSTEKER,France
gpfin2023SEG001OF,Judge No.4,Kathaleen CUTONE,USA
gpfin2023SEG001OF,Judge No.5,Kyung Won SAKONG,South Korea
gpfin2023SEG001OF,Judge No.6,Karol PESCOSTA,Italy
gpfin2023SEG001OF,Judge No.7,Ayumi ONO,Japan
gpfin2023SEG001OF,Judge No.8,Marjo KANKAANRANTA,Finland
gpfin2023SEG001OF,Judge No.9,Asa NORDBACK,Sweden
gpfin2023SEG002OF,Judge No.1,Jelena GALIMOVA,Estonia
gpfin2023SEG002OF,Judge No.2,Yury KLIUSHNIKOV,Azerbaijan
gpfin2023SEG002OF,Judge No.3,Florence VUYLSTEKER,France
gpfin2023SEG002OF,Judge No.4,Kathaleen CUTONE,USA
gpfin2023SEG002OF,Judge No.5,Kyung Won SAKONG,South Korea
gpfin2023SEG002OF,Judge No.6,Karol PESCOSTA,Italy
gpfin2023SEG002OF,Judge No.7,Ayumi ONO,Japan
gpfin2023SEG002OF,Judge No.8,Marjo KANKAANRANTA,Finland
gpfin2023SEG002OF,Judge No.9,Asa NORDBACK,Sweden
gpfin2023SEG003OF,Judge No.1,Pia ALHONEN,Finland
gpfin2023SEG003OF,Judge No.2,Ayumi ONO,Japan
gpfin2023SEG003OF,Judge No.3,Christine BLANC,Switzerland
gpfin2023SEG003OF,Judge No.4,Florence VUYLSTEKER,France
gpfin2023SEG003OF,Judge No.5,Jelena GALIMOVA,Estonia
gpfin2023SEG003OF,Judge No.6,Jeroen PRINS,Netherlands
gpfin2023SEG003OF,Judge No.7,Kyung Won SAKONG,South Korea
gpfin2023SEG003OF,Judge No.8,Kathaleen CUTONE,USA
gpfin2023SEG003OF,Judge No.9,Rui ZHAO,China
gpfin2023SEG004OF,Judge No.1,Pia ALHONEN,Finland
gpfin2023SEG004OF,Judge No.2,Ayumi ONO,Japan
gpfin2023SEG004OF,Judge No.3,Christine BLANC,Switzerland
gpfin2023SEG004OF,Judge No.4,Florence VUYLSTEKER,France
gpfin2023SEG004OF,Judge No.5,Jelena GALIMOVA,Estonia
gpfin2023SEG004OF,Judge No.6,Jeroen PRINS,Netherlands
gpfin2023SEG004OF,Judge No.7,Kyung Won SAKONG,South Korea
gpfin2023SEG004OF,Judge No.8,Kathaleen CUTONE,USA
gpfin2023SEG004OF,Judge No.9,Rui ZHAO,China
gpchn2023SEG001OF,Judge No.1,Carmen LAUN,Germany
gpchn2023SEG001OF,Judge No.2,Miwako ANDO,Japan
gpchn2023SEG001OF,Judge No.3,Francis BETSCH,France
gpchn2023SEG001OF,Judge No.4,Nadezhda PARETSKAIA,Kazakhstan
gpchn2023SEG001OF,Judge No.5,Kevin ROSENSTEIN,USA
gpchn2023SEG001OF,Judge No.6,Massimo ORLANDINI,Italy
gpchn2023SEG001OF,Judge No.7,Yumin WANG,China
gpchn2023SEG001OF,Judge No.8,Kadi ZVIRIK,Estonia
gpchn2023SEG001OF,Judge No.9,Min Ah KIM,South Korea
gpchn2023SEG002OF,Judge No.1,Carmen LAUN,Germany
gpchn2023SEG002OF,Judge No.2,Miwako ANDO,Japan
gpchn2023SEG002OF,Judge No.3,Francis BETSCH,France
gpchn2023SEG002OF,Judge No.4,Nadezhda PARETSKAIA,Kazakhstan
gpchn2023SEG002OF,Judge No.5,Kevin ROSENSTEIN,USA
gpchn2023SEG002OF,Judge No.6,Massimo ORLANDINI,Italy
gpchn2023SEG002OF,Judge No.7,Yumin WANG,China
gpchn2023SEG002OF,Judge No.8,Kadi ZVIRIK,Estonia
gpchn2023SEG002OF,Judge No.9,Min Ah KIM,South Korea
gpchn2023SEG003OF,Judge No.1,Miwako ANDO,Japan
gpchn2023SEG003OF,Judge No.2,Kylie Anne YACOPETTI,Australia
gpchn2023SEG003OF,Judge No.3,Yu WANG,China
gpchn2023SEG003OF,Judge No.4,Kevin ROSENSTEIN,USA
gpchn2023SEG003OF,Judge No.5,Edward Ka-Yin CHOW,Hong Kong
gpchn2023SEG003OF,Judge No.6,Kadi ZVIRIK,Estonia
gpchn2023SEG003OF,Judge No.7,Antony GREVISSE,Belgium
gpchn2023SEG003OF,Judge No.8,Min Ah KIM,South Korea
gpchn2023SEG003OF,Judge No.9,Ron CONACHER,Canada
gpchn2023SEG004OF,Judge No.1,Miwako ANDO,Japan
gpchn2023SEG004OF,Judge No.2,Kylie Anne YACOPETTI,Australia
gpchn2023SEG004OF,Judge No.3,Yu WANG,China
gpchn2023SEG004OF,Judge No.4,Kevin ROSENSTEIN,USA
gpchn2023SEG004OF,Judge No.5,Edward Ka-Yin CHOW,Hong Kong
gpchn2023SEG004OF,Judge No.6,Kadi ZVIRIK,Estonia
gpchn2023SEG004OF,Judge No.7,Antony GREVISSE,Belgium
gpchn2023SEG004OF,Judge No.8,Min Ah KIM,South Korea
gpchn2023SEG004OF,Judge No.9,Ron CONACHER,Canada
gpf2023SEG001OF,Judge No.1,Kristina LUNDGREN,USA
gpf2023SEG001OF,Judge No.2,Anu NIINIRANTA,Finland
gpf2023SEG001OF,Judge No.3,Nicole LEBLANC-RICHARD,Canada
gpf2023SEG001OF,Judge No.4,Feng HUANG,China
gpf2023SEG001OF,Judge No.5,Francoise de RAPPARD,Belgium
gpf2023SEG001OF,Judge No.6,Allan BOEHM,Slovakia
gpf2023SEG001OF,Judge No.7,Yuko OGAWA,Japan
gpf2023SEG001OF,Judge No.8,Chihee RHEE,South Korea
gpf2023SEG001OF,Judge No.9,Philippe MERIGUET,France
gpf2023SEG002OF,Judge No.1,Kristina LUNDGREN,USA
gpf2023SEG002OF,Judge No.2,Anu NIINIRANTA,Finland
gpf2023SEG002OF,Judge No.3,Nicole LEBLANC-RICHARD,Canada
gpf2023SEG002OF,Judge No.4,Feng HUANG,China
gpf2023SEG002OF,Judge No.5,Francoise de RAPPARD,Belgium
gpf2023SEG002OF,Judge No.6,Allan BOEHM,Slovakia
gpf2023SEG002OF,Judge No.7,Yuko OGAWA,Japan
gpf2023SEG002OF,Judge No.8,Chihee RHEE,South Korea
gpf2023SEG002OF,Judge No.9,Philippe MERIGUET,France
gpf2023SEG003OF,Judge No.1,Yumin WANG,China
gpf2023SEG003OF,Judge No.2,Ritsuko HORIUCHI,Japan
gpf2023SEG003OF,Judge No.3,Salome CHIGOGIDZE,Georgia
gpf2023SEG003OF,Judge No.4,Reaghan FORTIN,Canada
gpf2023SEG003OF,Judge No.5,Chihee RHEE,South Korea
gpf2023SEG003OF,Judge No.6,Anu NIINIRANTA,Finland
gpf2023SEG003OF,Judge No.7,Allan BOEHM,Slovakia
gpf2023SEG003OF,Judge No.8,Francoise de RAPPARD,Belgium
gpf2023SEG003OF,Judge No.9,Kevin ROSENSTEIN,USA
gpf2023SEG004OF,Judge No.1,Yumin WANG,China
gpf2023SEG004OF,Judge No.2,Ritsuko HORIUCHI,Japan
gpf2023SEG004OF,Judge No.3,Salome CHIGOGIDZE,Georgia
gpf2023SEG004OF,Judge No.4,Reaghan FORTIN,Canada
gpf2023SEG004OF,Judge No.5,Chihee RHEE,South Korea
gpf2023SEG004OF,Judge No.6,Anu NIINIRANTA,Finland
gpf2023SEG004OF,Judge No.7,Allan BOEHM,Slovakia
gpf2023SEG004OF,Judge No.8,Francoise de RAPPARD,Belgium
gpf2023SEG004OF,Judge No.9,Kevin ROSENSTEIN,USA
fc2023SEG001OF,Judge No.1,Na Young AHN,South Korea
fc2023SEG001OF,Judge No.2,Jia YAO,China
fc2023SEG001OF,Judge No.3,Saodat NUMANOVA,Uzbekistan
fc2023SEG001OF,Judge No.4,Deborah CURRIE,USA
fc2023SEG001OF,Judge No.5,Masako KUBOTA,Japan
fc2023SEG001OF,Judge No.6,Lynne DEY,Canada
fc2023SEG001OF,Judge No.7,Sasha MARTINEZ,Mexico
fc2023SEG001OF,Judge No.8,Elizabeth RYAN,Australia
fc2023SEG001OF,Judge No.9,Neil GARRARD,South Africa
fc2023SEG002OF,Judge No.1,Elizabeth RYAN,Australia
fc2023SEG002OF,Judge No.2,Sasha MARTINEZ,Mexico
fc2023SEG002OF,Judge No.3,Jia YAO,China
fc2023SEG002OF,Judge No.4,Na Young AHN,South Korea
fc2023SEG002OF,Judge No.5,Deborah CURRIE,USA
fc2023SEG002OF,Judge No.6,Lynne DEY,Canada
fc2023SEG002OF,Judge No.7,Neil GARRARD,South Africa
fc2023SEG002OF,Judge No.8,Masako KUBOTA,Japan
fc2023SEG002OF,Judge No.9,Tatiana YORDANOVA,Bulgaria
fc2023SEG003OF,Judge No.1,Ko-Man TING,Taiwan
fc2023SEG003OF,Judge No.2,Nicole LEBLANC-RICHARD,Canada
fc2023SEG003OF,Judge No.3,So Young AN,South Korea
fc2023SEG003OF,Judge No.4,Susan PETRICEVIC,New Zealand
fc2023SEG003OF,Judge No.5,Laurie JOHNSON,USA
fc2023SEG003OF,Judge No.6,Almila ARIKAN SARBANOGLU,Great Britan
fc2023SEG003OF,Judge No.7,Elizabeth ALEXANDRE,Australia
fc2023SEG003OF,Judge No.8,Ritsuko HORIUCHI,Japan
fc2023SEG003OF,Judge No.9,Ariadna MORONES NEGRETE,Mexico
fc2023SEG004OF,Judge No.1,Ritsuko HORIUCHI,Japan
fc2023SEG004OF,Judge No.2,Ko-Man TING,Taiwan
fc2023SEG004OF,Judge No.3,Laurie JOHNSON,USA
fc2023SEG004OF,Judge No.4,Almila ARIKAN SARBANOGLU,Great Britan
fc2023SEG004OF,Judge No.5,Elizabeth ALEXANDRE,Australia
fc2023SEG004OF,Judge No.6,So Young AN,South Korea
fc2023SEG004OF,Judge No.7,Susan PETRICEVIC,New Zealand
fc2023SEG004OF,Judge No.8,Ariadna MORONES NEGRETE,Mexico
fc2023SEG004OF,Judge No.9,Nicole LEBLANC-RICHARD,Canada
ec2023SEG001OF,Judge No.1,Tatiana YORDANOVA,Bulgaria
ec2023SEG001OF,Judge No.2,Carmen LAUN,Germany
ec2023SEG001OF,Judge No.3,Aniela HEBEL-SZMAK,Poland
ec2023SEG001OF,Judge No.4,Allan BOEHM,Slovakia
ec2023SEG001OF,Judge No.5,Agita ABELE,Latvia
ec2023SEG001OF,Judge No.6,Ursula STAHL,Austria
ec2023SEG001OF,Judge No.7,Zanna KULIK,Estonia
ec2023SEG001OF,Judge No.8,Josip CEROVAC,Croatia
ec2023SEG001OF,Judge No.9,Ebru ANILDI,Turkey
ec2023SEG002OF,Judge No.1,Ursula STAHL,Austria
ec2023SEG002OF,Judge No.2,Raffaella LOCATELLI,Italy
ec2023SEG002OF,Judge No.3,Attila SOOS,Hungary
ec2023SEG002OF,Judge No.4,Aniela HEBEL-SZMAK,Poland
ec2023SEG002OF,Judge No.5,Lisa DAVIDSON,Great Britan
ec2023SEG002OF,Judge No.6,Marjo KANKAANRANTA,Finland
ec2023SEG002OF,Judge No.7,Agita ABELE,Latvia
ec2023SEG002OF,Judge No.8,Zanna KULIK,Estonia
ec2023SEG002OF,Judge No.9,Tatiana YORDANOVA,Bulgaria
ec2023SEG003OF,Judge No.1,Kersten BELLMANN,Germany
ec2023SEG003OF,Judge No.2,Vessela POPOVA,Bulgaria
ec2023SEG003OF,Judge No.3,Claire SHEPHERD,Great Britain
ec2023SEG003OF,Judge No.4,Francoise de RAPPARD,Belgium
ec2023SEG003OF,Judge No.5,Anna KANTOR,Israel
ec2023SEG003OF,Judge No.6,Tobias STEINDL,Austria
ec2023SEG003OF,Judge No.7,Senem AHISKAL,Turkey
ec2023SEG003OF,Judge No.8,Zsuzsanna VIKARNE-HOMOLYA,Hungary
ec2023SEG003OF,Judge No.9,Hermi OTTEMANN,Netherlands
ec2023SEG004OF,Judge No.1,Kari-Anne OLSEN,Norway
ec2023SEG004OF,Judge No.2,Kadi ZVIRIK,Estonia
ec2023SEG004OF,Judge No.3,Salome CHIGOGIDZE,Georgia
ec2023SEG004OF,Judge No.4,Vessela POPOVA,Bulgaria
ec2023SEG004OF,Judge No.5,Tobias STEINDL,Austria
ec2023SEG004OF,Judge No.6,Zsuzsanna VIKARNE-HOMOLYA,Hungary
ec2023SEG004OF,Judge No.7,Claire SHEPHERD,Great Britain
ec2023SEG004OF,Judge No.8,Anna KANTOR,Israel
ec2023SEG004OF,Judge No.9,Alice WALDER,Switzerland
wc2023data0130,Judge No.1,Elisabeth LOUESDON,France
wc2023data0130,Judge No.2,Andrea SIMANCIKOVA,Slovakia
wc2023data0130,Judge No.3,Marco BUTTARELLI,Italy
wc2023data0130,Judge No.4,Agita ABELE,Latvia
wc2023data0130,Judge No.5,Marta OLOZAGARRE,Spain
wc2023data0130,Judge No.6,Mami MAEDA,Japan
wc2023data0130,Judge No.7,Adrienn SCHADENBAUER,Austria
wc2023data0130,Judge No.8,Senem AHISKAL,Turkey
wc2023data0130,Judge No.9,Ann FINDLAY,Great Britain
wc2023data0150,Judge No.1,Senem AHISKAL,Turkey
wc2023data0150,Judge No.2,Elisabeth LOUESDON,France
wc2023data0150,Judge No.3,Mami MAEDA,Japan
